Student_ID,Age,Gender,Score_ID,High_School_GPA,SAT_Score,University_ID,University_Ranking,Uni_score,Field_of_Study,Internship_ID,Internships_Completed,Carrer metrics_ID,Projects_Completed,Certifications,Years_to_Promotion,Job_Offers,skill_ID,Soft_Skills_Score,Networking_Score,Job_ID,Starting_Salary,Career_Satisfaction,Current_Job_Level,Work_Life_Balance,Entrepreneur_ID,Entrepreneurship
S00001,24,Male,1,3.58,1052,1,291,3.96,Arts,1,3,1,7,2,5,5,1,9,8,1,27200,4,Entry,7,1,No
S00002,21,Other,2,2.52,1211,2,112,3.63,Law,2,4,2,7,3,1,4,2,8,1,2,25000,1,Mid,7,2,No
S00003,28,Female,3,3.42,1193,3,715,2.63,Medicine,3,4,3,8,1,3,0,3,1,9,3,42400,9,Entry,7,3,No
S00004,25,Male,4,2.43,1497,4,170,2.81,Computer Science,4,3,4,9,1,5,1,4,10,6,4,57400,7,Mid,5,4,No
S00005,22,Male,5,2.08,1012,5,599,2.48,Engineering,5,4,5,6,4,5,4,5,10,9,5,47600,9,Entry,2,5,No
S00006,24,Male,6,2.4,1600,6,631,3.78,Law,6,2,6,3,2,2,1,6,2,2,6,68400,9,Entry,8,6,Yes
S00007,27,Male,7,2.36,1011,7,610,3.83,Computer Science,7,0,7,1,3,4,2,7,3,3,7,55500,7,Mid,3,7,No
S00008,20,Male,8,2.68,1074,8,240,2.84,Computer Science,8,1,8,5,5,3,2,8,5,1,8,38000,2,Entry,3,8,No
S00009,24,Male,9,2.84,1201,9,337,3.31,Business,9,2,9,3,0,2,2,9,5,5,9,68900,2,Entry,2,9,No
S00010,28,Male,10,3.02,1415,10,138,2.33,Computer Science,10,1,10,5,3,2,0,10,10,2,10,58900,4,Senior,2,10,No
S00011,28,Female,11,2.95,1120,11,594,2.87,Mathematics,11,2,11,7,5,1,5,11,8,1,11,26300,9,Entry,2,11,No
S00012,25,Female,12,2.54,1070,12,236,3.26,Law,12,2,12,2,3,4,5,12,2,9,12,35100,7,Mid,6,12,Yes
S00013,22,Female,13,2.06,1217,13,648,2.77,Engineering,13,2,13,0,5,4,2,13,2,9,13,42600,9,Senior,8,13,No
S00014,21,Male,14,3.21,1112,14,794,2.72,Arts,14,0,14,4,3,3,2,14,8,6,14,76500,4,Entry,3,14,No
S00015,25,Male,15,2.79,1152,15,3,2,Business,15,1,15,2,3,3,1,15,1,8,15,61100,9,Entry,6,15,Yes
S00016,25,Female,16,2.6,1023,16,571,3.61,Computer Science,16,3,16,5,2,4,3,16,9,9,16,34500,7,Senior,3,16,No
