Student_ID,Score_ID,High_School_GPA,SAT_Score
S00001,1,3.58,1052
S00002,2,2.52,1211
S00003,3,3.42,1193
S00004,4,2.43,1497
S00005,5,2.08,1012
S00006,6,2.4,1600
S00007,7,2.36,1011
S00008,8,2.68,1074
S00009,9,2.84,1201
S00010,10,3.02,1415
S00011,11,2.95,1120
S00012,12,2.54,1070
S00013,13,2.06,1217
S00014,14,3.21,1112
S00015,15,2.79,1152
S00016,16,2.6,1023
S00017,17,3.73,1539
S00018,18,3.49,1112
S00019,19,3.72,1523
S00020,20,2.99,984
S00021,21,2.26,1415
S00022,22,3.39,964
S00023,23,2.41,1217
S00024,24,2.88,1245
S00025,25,2.13,1531
S00026,26,3.65,1142
S00027,27,2.25,1036
S00028,28,3.81,1146
S00029,29,3.73,1340
S00030,30,2.93,944
S00031,31,3.49,1557
S00032,32,3.24,1587
S00033,33,3.61,1453
S00034,34,2.86,988
S00035,35,3.57,1127
S00036,36,2.92,1190
S00037,37,3.88,1321
S00038,38,2.97,966
S00039,39,2.93,1150
S00040,40,3.57,940
S00041,41,3.64,998
S00042,42,3.11,1205
S00043,43,2.36,1355
S00044,44,2.94,1490
S00045,45,3.94,1200
S00046,46,3.51,1098
S00047,47,3.62,1558
S00048,48,2.07,1387
S00049,49,2.94,1005
S00050,50,3.29,1300
S00051,51,3.66,1376
S00052,52,2.1,1021
S00053,53,3.7,976
S00054,54,3.1,1211
S00055,55,2.39,1011
S00056,56,2.63,1581
S00057,57,2.56,1417
S00058,58,3.06,1096
S00059,59,2.1,997
S00060,60,2.32,1358
S00061,61,3.63,1129
S00062,62,2.27,1067
S00063,63,2.47,907
S00064,64,2.91,1071
S00065,65,3.03,1259
S00066,66,3.53,1094
S00067,67,2.89,1168
S00068,68,3.58,918
S00069,69,3.24,1253
S00070,70,2.23,948
S00071,71,2.31,1363
S00072,72,2.87,1255
S00073,73,2.79,1057
S00074,74,3.49,965
S00075,75,3.16,1470
S00076,76,2.78,1207
S00077,77,2.34,1236
S00078,78,2.45,1570
S00079,79,3.15,1020
S00080,80,2.85,1303
S00081,81,3.03,1546
S00082,82,2.34,1467
S00083,83,3.33,995
S00084,84,3.71,1013
S00085,85,2.52,1328
S00086,86,2.98,1439
S00087,87,3.95,901
S00088,88,2.67,1111
S00089,89,3.19,1479
S00090,90,2.18,1539
S00091,91,3.21,1232
S00092,92,2.18,923
S00093,93,3.92,1267
S00094,94,3.43,1405
S00095,95,3.58,1075
S00096,96,3.41,1328
S00097,97,3.18,1341
S00098,98,2.9,1447
S00099,99,3.72,1413
S00100,100,3.91,1260
S00101,101,3,1173
S00102,102,3.86,1076
S00103,103,3.17,1163
S00104,104,3.08,1085
S00105,105,2.91,1426
S00106,106,2.42,1178
S00107,107,2.01,1097
S00108,108,2.48,1248
S00109,109,3.02,1320
S00110,110,2.76,1204
S00111,111,2.9,963
S00112,112,3.96,1189
S00113,113,2.7,917
S00114,114,2.9,963
S00115,115,2.27,1229
S00116,116,2.1,916
S00117,117,3.55,1342
S00118,118,3.14,1040
S00119,119,3.52,1207
S00120,120,2.3,1343
S00121,121,3.14,1395
S00122,122,2.51,1325
S00123,123,2.46,1374
S00124,124,2.02,1144
S00125,125,2.26,1349
S00126,126,2.62,1250
S00127,127,2.23,1498
S00128,128,3.97,1060
S00129,129,2.62,1039
S00130,130,2.26,1392
S00131,131,2.4,1487
S00132,132,3.18,1430
S00133,133,2.13,1292
S00134,134,3.72,1300
S00135,135,3.92,949
S00136,136,2.49,1194
S00137,137,2.9,1324
S00138,138,2.04,911
S00139,139,3.28,1234
S00140,140,2.83,914
S00141,141,2.54,927
S00142,142,2.41,1287
S00143,143,3.31,1191
S00144,144,2.83,1149
S00145,145,2.36,1404
S00146,146,3.38,997
S00147,147,3.13,1236
S00148,148,3.72,938
S00149,149,2.23,937
S00150,150,3.57,1199
S00151,151,3.35,1078
S00152,152,2.23,1508
S00153,153,3.39,1368
S00154,154,2.88,1181
S00155,155,3.89,1063
S00156,156,2.28,1352
S00157,157,3.29,996
S00158,158,2.76,1208
S00159,159,3.91,1161
S00160,160,2.66,1192
S00161,161,3.92,1148
S00162,162,3.8,1144
S00163,163,2.54,1150
S00164,164,3.61,1022
S00165,165,3.99,1224
S00166,166,2.51,1580
S00167,167,2.87,1400
S00168,168,3.04,1586
S00169,169,2.59,965
S00170,170,2.03,958
S00171,171,2.44,1397
S00172,172,2.56,1272
S00173,173,2.89,1165
S00174,174,2.34,1552
S00175,175,3.75,1135
S00176,176,3.41,1117
S00177,177,2.17,1426
S00178,178,3.3,1340
S00179,179,3.31,1549
S00180,180,3.91,1305
S00181,181,2.01,1500
S00182,182,2.5,1488
S00183,183,3.86,1547
S00184,184,3.86,1368
S00185,185,3.44,1009
S00186,186,3.53,1252
S00187,187,2.18,990
S00188,188,3.03,1313
S00189,189,2.46,972
S00190,190,2.36,1584
S00191,191,3.62,1446
S00192,192,2.27,1197
S00193,193,2.94,1544
S00194,194,3.88,1182
S00195,195,2.37,1404
S00196,196,3.96,1097
S00197,197,3.99,931
S00198,198,3.11,1547
S00199,199,2.34,1240
S00200,200,2.63,1557
S00201,201,2.85,1233
S00202,202,2.62,1042
S00203,203,2.56,1309
S00204,204,3.94,943
S00205,205,2.31,931
